Frame,Emotion Scores
43,"{'disgust': np.float64(0.06925802409648896), 'fear': np.float64(0.06716192744672297), 'happy': np.float64(0.0011725483112968505), 'neutral': np.float64(0.09487038969993591), 'sad': np.float64(0.34129987120628363), 'surprise': np.float64(0.1527134157717228), 'anger': np.float64(0.00693991847569123)}"
44,"{'disgust': np.float64(0.06908808290958404), 'fear': np.float64(0.04562208909541369), 'happy': np.float64(0.001177574892062694), 'neutral': np.float64(0.1311438137292862), 'sad': np.float64(0.31276434078812604), 'surprise': np.float64(0.12943686321377754), 'anger': np.float64(0.006825762975495309)}"
45,"{'disgust': np.float64(0.05876199603080749), 'fear': np.float64(0.01927890468388796), 'happy': np.float64(0.0010081347194500268), 'neutral': np.float64(0.12801180839538576), 'sad': np.float64(0.2761524586193264), 'surprise': np.float64(0.16771018579602243), 'anger': np.float64(0.006100501157343388)}"
46,"{'disgust': np.float64(0.047437896132469175), 'fear': np.float64(0.017654589302837847), 'happy': np.float64(0.0008798162394668907), 'neutral': np.float64(0.11430751565843822), 'sad': np.float64(0.22031699039973324), 'surprise': np.float64(0.21824984028935432), 'anger': np.float64(0.0051899793301709)}"
47,"{'disgust': np.float64(0.03990740682929754), 'fear': np.float64(0.020143738724291323), 'happy': np.float64(0.0007005302759353071), 'neutral': np.float64(0.0720413925871253), 'sad': np.float64(0.13403484093607404), 'surprise': np.float64(0.3142709046602249), 'anger': np.float64(0.004442599348840304)}"
48,"{'disgust': np.float64(0.017981880418956285), 'fear': np.float64(0.02402535516768694), 'happy': np.float64(0.0005948573641944676), 'neutral': np.float64(0.0506128741800785), 'sad': np.float64(0.014250979427015411), 'surprise': np.float64(0.4080295473337173), 'anger': np.float64(0.0023717710759956394)}"
49,"{'disgust': np.float64(0.004647988546639681), 'fear': np.float64(0.0298153480142355), 'happy': np.float64(0.0003608950646594167), 'neutral': np.float64(0.005319466888904572), 'sad': np.float64(0.0027649235306307675), 'surprise': np.float64(0.4761880338191986), 'anger': np.float64(0.0013448098360095172)}"
50,"{'disgust': np.float64(0.0025539474934339525), 'fear': np.float64(0.028867723457515242), 'happy': np.float64(0.0002982765057822689), 'neutral': np.float64(0.001333129219710827), 'sad': np.float64(0.0014171016949694605), 'surprise': np.float64(0.4835989594459534), 'anger': np.float64(0.0010402566511766053)}"
51,"{'disgust': np.float64(0.0010028835199773311), 'fear': np.float64(0.02070851158350706), 'happy': np.float64(0.00025922007916960864), 'neutral': np.float64(0.0010696904547512532), 'sad': np.float64(0.0007637697760947049), 'surprise': np.float64(0.4886691451072693), 'anger': np.float64(0.0008184666352462955)}"
52,"{'disgust': np.float64(0.0008683528751134873), 'fear': np.float64(0.021368584670126436), 'happy': np.float64(0.00027265795215498657), 'neutral': np.float64(0.0009781099855899812), 'sad': np.float64(0.0007477366353850812), 'surprise': np.float64(0.48859129548072816), 'anger': np.float64(0.0007888297690078616)}"
53,"{'disgust': np.float64(0.0007941108569502831), 'fear': np.float64(0.018330799676477907), 'happy': np.float64(0.00027484243328217416), 'neutral': np.float64(0.001061936318874359), 'sad': np.float64(0.0006990037672221661), 'surprise': np.float64(0.48982739448547363), 'anger': np.float64(0.0007344672913313844)}"
54,"{'disgust': np.float64(0.0007760465517640114), 'fear': np.float64(0.01579501960426569), 'happy': np.float64(0.0002802732778945938), 'neutral': np.float64(0.0011212173476815223), 'sad': np.float64(0.000655502456938848), 'surprise': np.float64(0.4908406972885132), 'anger': np.float64(0.0007022423113812691)}"
55,"{'disgust': np.float64(0.0008309252373874187), 'fear': np.float64(0.03214422896504402), 'happy': np.float64(0.0003044433135073632), 'neutral': np.float64(0.00119255056604743), 'sad': np.float64(0.0008505166671238841), 'surprise': np.float64(0.4837799906730652), 'anger': np.float64(0.0007782419613795355)}"
56,"{'disgust': np.float64(0.0008808081038296223), 'fear': np.float64(0.06803359553217889), 'happy': np.float64(0.0003322530537843704), 'neutral': np.float64(0.0012542936392128466), 'sad': np.float64(0.0012531939928885551), 'surprise': np.float64(0.4684864580631256), 'anger': np.float64(0.0009049439860973508)}"
57,"{'disgust': np.float64(0.0009327999316155911), 'fear': np.float64(0.07005511298775673), 'happy': np.float64(0.00032794958096928897), 'neutral': np.float64(0.001366328112781048), 'sad': np.float64(0.0013456741941627116), 'surprise': np.float64(0.46743040680885317), 'anger': np.float64(0.0009265467207296753)}"
58,"{'disgust': np.float64(0.0010066812857985497), 'fear': np.float64(0.08535005852580071), 'happy': np.float64(0.0003592342894989997), 'neutral': np.float64(0.0014332215487957002), 'sad': np.float64(0.0015964178764261306), 'surprise': np.float64(0.4607705295085907), 'anger': np.float64(0.001000550392200239)}"
59,"{'disgust': np.float64(0.0011109020560979843), 'fear': np.float64(0.10402118191123008), 'happy': np.float64(0.0003857249568682164), 'neutral': np.float64(0.0014639478363096714), 'sad': np.float64(0.0018845578865148128), 'surprise': np.float64(0.4527187287807465), 'anger': np.float64(0.0010697147698374466)}"
60,"{'disgust': np.float64(0.0011300420947372915), 'fear': np.float64(0.09256782889366151), 'happy': np.float64(0.00038307492504827676), 'neutral': np.float64(0.001510702446103096), 'sad': np.float64(0.0018249793071299792), 'surprise': np.float64(0.457456111907959), 'anger': np.float64(0.0010335373861016706)}"
61,"{'disgust': np.float64(0.001351558342576027), 'fear': np.float64(0.07005583584308624), 'happy': np.float64(0.0003999455482698977), 'neutral': np.float64(0.0015810526348650454), 'sad': np.float64(0.001909830803051591), 'surprise': np.float64(0.46656428575515746), 'anger': np.float64(0.0009714987681945788)}"
62,"{'disgust': np.float64(0.0016439718194305897), 'fear': np.float64(0.17693077102303503), 'happy': np.float64(0.0004483262193389237), 'neutral': np.float64(0.0015336319431662562), 'sad': np.float64(0.003406009308528156), 'surprise': np.float64(0.42114537954330444), 'anger': np.float64(0.0011930592957651244)}"
63,"{'disgust': np.float64(0.0018247666582465176), 'fear': np.float64(0.2582049031555652), 'happy': np.float64(0.00047925975522957744), 'neutral': np.float64(0.0015510163083672524), 'sad': np.float64(0.004306523827835918), 'surprise': np.float64(0.3866829931735992), 'anger': np.float64(0.001336739886319265)}"
64,"{'disgust': np.float64(0.0020118469558656218), 'fear': np.float64(0.3573929692804813), 'happy': np.float64(0.0005132957128807902), 'neutral': np.float64(0.0015733278356492519), 'sad': np.float64(0.005477756042964757), 'surprise': np.float64(0.3446181446313858), 'anger': np.float64(0.0014933713036589325)}"
