Category,emo_anger,emo_disgust,emo_fear,emo_joy,emo_sadness,emo_surprise
college cafeteria,0.09483726150392817,0.07014590347923681,0.0920314253647587,0.4702581369248036,0.10325476992143659,0.16947250280583614
afghan restaurant,0.08318784916201118,0.062325418994413406,0.09846368715083799,0.5046263966480447,0.09165502793296089,0.15974162011173185
szechuan restaurants,0.11100173440210004,0.08423569118267472,0.10673604275066798,0.4547414803356302,0.09417334645853842,0.1491117048703886
portuguese restaurant,0.10943712073655576,0.06172839506172839,0.14459091860221804,0.43984097091441726,0.08537350910232266,0.1590290855827579
synagogue,0.062402496099843996,0.0390015600624025,0.08892355694227769,0.5491419656786272,0.0904836193447738,0.17004680187207488
brazilian restaurant,0.09805991817341955,0.06642910562667723,0.09234085609959966,0.4678632704236505,0.10580264836566804,0.169504201310985
theater,0.11625239005736138,0.0982791586998088,0.10057361376673041,0.37782026768642446,0.12351816443594646,0.1835564053537285
art museum,0.060699279711884754,0.0429546818727491,0.06381302521008403,0.4267707082833133,0.17932172869147658,0.22644057623049219
skate park,0.10896898575020955,0.08717518860016764,0.14585079631181894,0.3562447611064543,0.14082145850796313,0.16093880972338642
russian restaurant,0.07503001200480192,0.07052821128451381,0.07893157262905162,0.5093037214885955,0.09573829531812725,0.17046818727490998
boarding house,0.13501423342822286,0.1024806832045547,0.1329808865392436,0.3395689304595364,0.13176087840585604,0.15819438796258642
embassy / consulate,0.09780775716694773,0.06829679595278246,0.21416526138279932,0.25379426644182124,0.16610455311973019,0.19983136593591905
scandinavian restaurant,0.07435211846976553,0.0613944878650761,0.07322089675030852,0.5043192102015631,0.09934183463595228,0.18737145207733444
bus station,0.15257048092868988,0.11774461028192372,0.17744610281923714,0.18076285240464346,0.2470978441127695,0.12437810945273632
planetarium,0.11712022046159146,0.06476059249052704,0.13813296589734758,0.40578711677574925,0.12573200137788496,0.14846710299689975
eastern european restaurant,0.08,0.04,0.04,0.64,0.09333333333333334,0.10666666666666667
mosque,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.45454545454545453,0.09090909090909091,0.18181818181818182
ev charging station,0.12121212121212122,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.24242424242424243,0.18181818181818182
hotel bar,0.07664233576642336,0.07664233576642336,0.0948905109489051,0.49635036496350365,0.10948905109489052,0.145985401459854
